,Grid_Latitude,Grid_Longitude,Alpha,Predictions
44,-0.0399539623378705,-1.5672624433250493,0.9677502562587045,0.9588654173922913
152,-1.4005516631451391,-1.1730074728139401,0.7672358028750107,0.7516539364175643
237,1.4340265115763728,-0.975878278503781,-0.05357883120136416,-0.0666186614661091
998,-0.7202530584928142,1.5867875750914517,-0.04812109276132764,-0.05350191363941497
301,-1.513934927754733,-0.6801844870385422,0.8194717115027056,0.8161302096895325
417,1.4340265115763728,-0.3844941136825125,-0.3629287911564534,-0.3714162378542744
939,-0.6068697938832204,1.3896583807812926,0.920834507089745,0.9094071163882189
439,0.5269613777048606,-0.2859295165274329,-0.530484850110555,-0.46129378575791163
655,1.2072604738598043,0.40401924544891504,-1.140869470059988,-1.1022809013480617
83,0.9804939446406169,-1.4686978461699698,0.7144581358664027,0.7169422550888971
410,0.6403446423144544,-0.3844941136825125,0.8461541346034703,0.9333787977446542
372,-0.26672049155705796,-0.4830587108375921,1.425233282716838,1.4724810803565964
11,-0.38010326466403294,-1.665827040480129,1.0093208316086921,0.9872273846976498
938,-0.7202530584928142,1.3896583807812926,1.0893542771855924,1.0710660063140751
714,1.0938772092502105,0.6011484397590742,-1.8032418298526633,-1.7636695976322678
390,-1.627317700861708,-0.3844941136825125,-0.5374579321628173,-0.5433882861454727
974,-0.0399539623378705,1.4882229779363723,0.9309218769914601,0.9158048696268274
1033,-0.15333722694746424,1.6853521722465314,-0.26567230028403793,-0.23995262056613315
704,-0.0399539623378705,0.6011484397590742,-2.0578314056140776,-1.9813725594203369
951,0.7537279069240481,1.3896583807812926,-0.8081607055524085,-0.7853922691222259
627,1.4340265115763728,0.30545464829383545,-0.02649025388307408,-0.0009678742602343329
964,-1.1737851339259517,1.4882229779363723,0.4335027661430076,0.3998633943628435
371,-0.38010326466403294,-0.4830587108375921,0.9554695219278251,0.9213098674873642
715,1.2072604738598043,0.6011484397590742,-1.4499482216883017,-1.4635503145044042
885,0.07342930227172323,1.1925326045803426,-0.6673140588772216,-0.6492583919890423
1016,1.3206432469667793,1.5867875750914517,-1.2913532281526316,-1.2251380718943368
507,1.4340265115763728,-0.08880032221727377,0.16487881774360283,0.12905424661900802
647,0.30019533998829195,0.40401924544891504,1.0365627864515905,1.0030814932600298
27,1.4340265115763728,-1.665827040480129,-1.4960845760541008,-1.4785835217282965
481,-1.513934927754733,-0.08880032221727377,1.0892871333765364,1.061535327439699
112,0.8671111715336419,-1.37013324901489,1.0782847645082732,1.0500218424670382
720,-1.627317700861708,0.6997096188049446,-1.2178623543228695,-1.192317116901948
494,-0.0399539623378705,-0.08880032221727377,-0.4658075886283564,-0.4782006228197707
912,-0.26672049155705796,1.291093783626213,-1.4229656262646981,-1.2696807571286026
261,0.7537279069240481,-0.8773136813487014,0.24806802234613762,0.22708692094123473
821,-0.38010326466403294,0.9954034102701834,-1.0466008786905667,-1.0386934444459264
402,-0.26672049155705796,-0.3844941136825125,1.084989929596949,0.9983276927788628
956,1.3206432469667793,1.3896583807812926,-0.3393981774454962,-0.32817725286284427
542,-1.4005516631451391,0.10832545398367625,0.35281433929149186,0.3620954336178261
213,-1.2871683985355455,-0.975878278503781,0.7673134790462716,0.7156632414584608
69,-0.6068697938832204,-1.4686978461699698,1.3212663605746442,1.2492077505314814
1012,0.8671111715336419,1.5867875750914517,1.117104418504876,1.0943477085523907
732,-0.26672049155705796,0.6997096188049446,0.8450554775709748,0.7852999755608283
394,-1.1737851339259517,-0.3844941136825125,-0.8509951643669805,-0.848218605269138
294,1.0938772092502105,-0.7787490841936218,0.13732615821566063,0.12748293051932405
173,0.9804939446406169,-1.1730074728139401,0.966398822533292,0.9578007996103108
934,-1.1737851339259517,1.3896583807812926,0.623584256490139,0.6286376527755189
259,0.5269613777048606,-0.8773136813487014,0.010439499370392218,0.02187976294878607
106,0.18681207537869823,-1.37013324901489,0.10379638313645421,0.11524820258141542
862,0.8671111715336419,1.093968007425263,0.4020373340559559,0.38757170253143386
427,-0.8336358315997892,-0.2859295165274329,-0.6142158130940029,-0.6005107483956944
804,1.0938772092502105,0.8968388131151038,0.8510655067541292,0.8545459047318281
896,1.3206432469667793,1.1925326045803426,0.5778599807956055,0.5569090742454804
161,-0.38010326466403294,-1.1730074728139401,-1.0347006259443383,-0.9994151519091864
216,-0.9470190962093828,-0.975878278503781,0.46492672705387766,0.4699875395095483
28,1.5474097761859666,-1.665827040480129,-0.5773058080196707,-0.5919203825744926
365,-1.0604023608189768,-0.4830587108375921,-0.5704294920451657,-0.5325175598035418
723,-1.2871683985355455,0.6997096188049446,-1.2136665245295042,-1.1843088903296692
877,-0.8336358315997892,1.1925326045803426,-0.6975965750341387,-0.7355180770976272
616,0.18681207537869823,0.30545464829383545,1.4924593758526152,1.5354649997143843
408,0.4135786045978857,-0.3844941136825125,2.885996877451718,2.830687311920654
509,1.6607930407955604,-0.08880032221727377,-0.3285314127406207,-0.30138058265224876
