,Grid_Latitude,Grid_Longitude,Alpha,Predictions
44,2.200000762939453,154.9199981689453,0.8543019890785217,0.8534974931385333
152,-3.0799999237060547,156.67999267578125,0.8361459970474243,0.8347351050221513
237,7.920000076293945,157.55999755859375,0.7618236541748047,0.7606429360251732
998,-0.4400005340576172,169.0,0.7623178362846375,0.7618306188330537
301,-3.520000457763672,158.8800048828125,0.8408758044242859,0.8405732412959523
417,7.920000076293945,160.1999969482422,0.7338129281997681,0.7330444149479322
939,0.0,168.1199951171875,0.8500539064407349,0.8490191899352063
439,4.399999618530273,160.63999938964844,0.7186412215232849,0.7249062682159834
655,7.040000915527344,163.72000122070312,0.6633726954460144,0.6668667764671193
83,6.159999847412109,155.36000061035156,0.8313671350479126,0.8315920647128161
410,4.840000152587891,160.1999969482422,0.8432918190956116,0.8511897549410447
372,1.3199996948242188,159.75999450683594,0.8957257270812988,0.9000038757282338
11,0.8800010681152344,154.47999572753906,0.8580660820007324,0.856065585581211
938,-0.4400005340576172,168.1199951171875,0.8653128743171692,0.8636569253588642
714,6.600000381469727,164.60000610351562,0.6033968329429626,0.6069799817919457
390,-3.9599990844726562,160.1999969482422,0.7180098295211792,0.7174728534686617
974,2.200000762939453,168.55999755859375,0.850967288017273,0.8495984876110443
1033,1.760000228881836,169.44000244140625,0.7426192164421082,0.7449480575411939
704,2.200000762939453,164.60000610351562,0.5803444981575012,0.5872676210485185
951,5.280000686645508,168.1199951171875,0.6934984922409058,0.6955601069694756
627,7.920000076293945,163.27999877929688,0.7642764449119568,0.7665874210696715
964,-2.1999988555908203,168.55999755859375,0.8059274554252625,0.8028815095811338
371,0.8800010681152344,159.75999450683594,0.853190004825592,0.8500969489219398
715,7.040000915527344,164.60000610351562,0.6353865265846252,0.6341548972202181
885,2.6400012969970703,167.24000549316406,0.7062517404556274,0.7078866278096609
1016,7.479999542236328,169.0,0.649746835231781,0.6557424222285099
507,7.920000076293945,161.52000427246094,0.7816043496131897,0.7783605404169968
647,3.520000457763672,163.72000122070312,0.8605327606201172,0.857501128325693
27,7.920000076293945,154.47999572753906,0.6312090158462524,0.6327936846694373
481,-3.520000457763672,161.52000427246094,0.8653067946434021,0.8627939505120436
112,5.720001220703125,155.8000030517578,0.8643105626106262,0.8617514384243299
720,-3.9599990844726562,165.0399932861328,0.6564012169837952,0.6587142628476723
494,2.200000762939453,161.52000427246094,0.7244975566864014,0.7233754040124998
912,1.3199996948242188,167.67999267578125,0.6378297209739685,0.6517092135270429
261,5.280000686645508,158.0,0.7891368865966797,0.7872371097801819
821,0.8800010681152344,166.36000061035156,0.671908438205719,0.6726244330415496
402,1.3199996948242188,160.1999969482422,0.8649176955223083,0.8570706857206987
956,7.479999542236328,168.1199951171875,0.7359435558319092,0.73695957743966
542,-3.0799999237060547,162.39999389648438,0.7986213564872742,0.7994617321897994
213,-2.6399993896484375,157.55999755859375,0.8361530303955078,0.831476253802979
69,0.0,155.36000061035156,0.8863118290901184,0.8797871345973372
1012,5.720001220703125,169.0,0.8678255677223206,0.8657650147917012
732,1.3199996948242188,165.0399932861328,0.8431923389434814,0.8377816545763331
394,-2.1999988555908203,160.1999969482422,0.6896199584007263,0.6898713676333458
294,6.600000381469727,158.44000244140625,0.779109537601471,0.7782182623811605
173,6.159999847412109,156.67999267578125,0.8541796207427979,0.8534010951400867
934,-2.1999988555908203,168.1199951171875,0.8231387734413147,0.8235963435622664
259,4.399999618530273,158.0,0.767620325088501,0.7686562071950418
106,3.0799999237060547,155.8000030517578,0.7760735154151917,0.7771104438713484
862,5.720001220703125,166.8000030517578,0.8030783534049988,0.801768533158867
427,-0.8799991607666016,160.63999938964844,0.7110596299171448,0.7123005830816133
804,6.600000381469727,165.9199981689453,0.8437365293502808,0.8440516691164264
896,7.479999542236328,167.24000549316406,0.8189985752105713,0.8171015324490679
161,0.8800010681152344,156.67999267578125,0.6729859709739685,0.6761809665196004
216,-1.3199996948242188,157.55999755859375,0.8087728023529053,0.8092310439861915
28,8.360000610351562,154.47999572753906,0.7144017219543457,0.7130784153563545
365,-1.760000228881836,159.75999450683594,0.7150243520736694,0.7184571656591583
723,-2.6399993896484375,165.0399932861328,0.6567811369895935,0.6594393841313301
877,-0.8799991607666016,167.24000549316406,0.7035097479820251,0.7000760678774072
616,3.0799999237060547,163.27999877929688,0.9018128514289856,0.9057068837590767
408,3.960000991821289,160.1999969482422,1.0279935598373413,1.0229854418983124
509,8.80000114440918,161.52000427246094,0.7369275093078613,0.7393859368496349
713,6.159999847412109,164.60000610351562,0.6168880462646484,0.6171415252358368
466,3.0799999237060547,161.0800018310547,0.6914628148078918,0.6855063079389031
570,-3.9599990844726562,162.83999633789062,0.5736469030380249,0.5797059729426974
832,5.720001220703125,166.36000061035156,0.8325450420379639,0.830089373011655
366,-1.3199996948242188,159.75999450683594,0.7768911719322205,0.7756698751673066
401,0.8800010681152344,160.1999969482422,0.7517505884170532,0.7568244045572677
404,2.200000762939453,160.1999969482422,0.7401553988456726,0.7446527333271985
778,8.360000610351562,165.47999572753906,0.6496717929840088,0.652702884208174
